#combination,result
3d glasses+printer,3d printer
ball+united kingdom,soccer ball
ball+vegetable,cabbage
ball+white,baseball
ball+zebra,soccer ball
balloon+fire,hot air balloon
balloon+heat,hot air balloon
balloon+plane,blimp
bamboo+animal,panda
bamboo+bamboo,basket
bamboo+bear,panda
bamboo+blade,stick
bamboo+compost,reed
bamboo+country,china
bamboo+knife,stick
bamboo+leaf,leek
bamboo+rope,basket
bamboo+sugar,reed
bamboo+tree,nest
bamboo+vegetable,asparagus
band+house,concert hall
bandicoot+big,opossum
bank+human,banker
bank+plastic,credit card
bank+tool,calculator
banker+plastic,credit card
bar+human,alcoholic
barber pole+house,barber shop
barber shop+stick,barber pole
barber+house,barber shop
barber+stick,barber pole
barley+earth,field
barley+pressure,flour
barley+windmill,flour
barn+human,farmer
barrel+earth,compost
barrel+fern,compost
barrel+flower,compost
barrel+fruit,compost
barrel+grass,compost
barrel+leaf,compost
barrel+moss,compost
barrel+plant,pumpkin
barrel+seaweed,compost
barrel+soil,compost
barrel+vegetable,pumpkin
barrel+vine,compost
barrel+wheat,compost
baseball bat+human,baseball player
baseball+human,baseball player
baseball+stick,baseball bat
basket+big,barrel
basket+bird,nest
basket+chest,barrel
basket+wood,barrel
basketball hoop+human,basketball player
basketball+darkness,football
basketball+human,basketball player
basketball+net,basketball hoop
basketball+tennis ball,volleyball
bat+blood,vampire
bat+boat,plane
bat+car,plane
bat+eagle,vulture
bat+earth,mouse
bat+fly,mosquito
bat+fruit,fruit bat
bat+human,vampire
bat+insect,mosquito
bat+machine,plane
bat+metal,plane
bat+sailboat,plane
bat+ship,plane
bat+squirrel,flying lemur
bat+steam engine,plane
bat+steamboat,plane
bat+steel,plane
bat+train,plane
bat+truck,plane
bat+wolf,gargoyle
bathtub+bird,rubber duck
bathtub+geyser,jacuzzi
bathtub+house,bathhouse
bathtub+human,water
bathtub+metal,shower
batter+egg,cake
batter+house,bakery
batter+human,baker
battery+electricity,energy
battery+energy,electricity
battery+juice,acid
battery+metal,electricity
battery+steam engine,machine
battery+steel,machine
battery+water,acid
battery+wire,machine
battleship+human,sailor
bauxite+fire,aluminum
bauxite+lava,aluminum
bauxite+metal,aluminum
bauxite+tool,aluminum
beach+beach,desert
beach+bird,seagull
beach+campfire,bonfire
beach+castle,sand castle
beach+clothing,bikini
beach+fire,bonfire
beach+house,sand castle
beach+life,crab
beach+ocean,island
beach+pressure,wave
beach+sea,island
beach+shell,turtle
beach+swamp,quicksand
beach+toy,shell
beach+wind,dune
beach+wool,bathing suit
bean+cake,moon cake
bean+candy,jelly bean
bean+element,potassium
bean+energy,coffee
bean+nut,peanut
bear+asia,panda
bear+chopstick,panda
bear+dog,hyena
bear+fingernail,wolverine
bear+ice,polar bear
bear+red,red panda
bear+reed,panda
bear+scissors,hair
bear+small,koala
bear+snow,polar bear
bear+spike,wolverine
bear+toy,stuffed animal
beaver+egg,platypus
beaver+river,dam
beaver+tree,dam
beaver+wood,dam
bed+earth,bedrock
bed+insect,bedbug
bed+stone,bedrock
bee+barn,apiary
bee+beehive,beeswax
bee+box,apiary
bee+darkness,hornet
bee+energy,hornet
bee+evil,hornet
bee+farm,apiary
bee+flower,honey
bee+house,beehive
bee+human,beekeeper
bee+king,queen bee
bee+nest,beehive
bee+poison,hornet
bee+pollen,flower
bee+queen,queen bee
bee+sickness,allergy
bee+sugar,honey
bee+tree,beehive
bee+wall,beehive
bee+wind,pollen
bee+wood,apiary
beef+ball,meatball
beef+bbq,steak
beef+blade,hotdog
beef+bread,hotdog
beef+chef,steak
beef+fire,steak
beef+heat,steak
beef+human,feces
beef+knife,hotdog
beef+lettuce,hamburger
beef+microwave,steak
beef+oven,steak
beef+toast,hamburger
beef+toaster,steak
beehive+barn,apiary
beehive+box,apiary
beehive+farm,apiary
beehive+human,beekeeper
beehive+pollen,honey
beehive+water,beeswax
beehive+wood,apiary
beekeeper+bee,honey
beekeeper+beehive,honey
beer+house,bar
beer+human,alcoholic
beeswax+corpse,wax
beeswax+flesh,wax
beet+devolution,reed
beet+heat,sugar
beet+human,sugar
beet+oven,sugar
beet+tool,sugar
beetle+desert,scorpion
beetle+dune,scorpion
beetle+earth,worm
beetle+energy,ant
beetle+hunter,cockroach
beetle+red,ladybug
beetle+sand,scorpion
bell+flower,bluebell
bell+pepper,bell pepper
bench+bench,table
bench+bus,bus stop
bench+chair,table
bench+stool,table
berry+animal,bear
berry+berry,cherry
berry+leaf,cherry
berry+plant,bush
berry+red,strawberry
beryllium+proton,boron
bible+house,church
bible+wood,bookshelf
bicycle+bicycle,car
bicycle+electricity,motorcycle
bicycle+metal,car
bicycle+mountain range,mountain bike
bicycle+mountain,mountain bike
bicycle+nail,unicycle
bicycle+needle,unicycle
bicycle+oil,motorcycle
bicycle+saw,unicycle
bicycle+steel,car
bicycle+wheel,tricycle
big+car,truck
big+raygun,growth ray
bird+alarm clock,cuckoo
bird+bacteria,virus
bird+barn,chicken
bird+bee,hummingbird
bird+big,eagle
bird+bird,egg
bird+blade,blood
bird+blood,bat
bird+blue,blue jay
bird+boat,plane
bird+bomb,missile
bird+boulder,eagle
bird+box,birdcage
bird+bush,pigeon
bird+butterfly,hummingbird
bird+canada,goose
bird+car,plane
bird+cat,corpse
bird+cheetah,falcon
bird+city,pigeon
bird+clock,cuckoo
bird+corn,chicken
bird+corpse,vulture
bird+devolution,dinosaur
bird+dinosaur,pterodactyl
bird+dragon,phoenix
bird+egg,family
bird+eye,owl
bird+farm,chicken
bird+farmer,chicken
bird+field,crow
bird+fish,flying fish
bird+flower,hummingbird
bird+fountain,birdbath
bird+garden,hummingbird
bird+gold,birdcage
bird+grain,chicken
bird+gun,corpse
bird+hair,kiwi
bird+hay,nest
bird+hill,eagle
bird+hourglass,chicken
bird+house,nest
bird+human,harpy
bird+ice,penguin
bird+knowledge,crow
bird+leaf,peacock
bird+lemur,flying lemur
bird+machine,plane
bird+magic,harpy
bird+metal,birdcage
bird+mosquito,hummingbird
bird+new zealand,kiwi
bird+paper,origami
bird+pink,flamingo
bird+pirate,parrot
bird+pond,duck
bird+puddle,flamingo
bird+rat,bat
bird+red,cardinal
bird+sailboat,plane
bird+scarecrow,crow
bird+sea,seagull
bird+seed,chicken
bird+ship,plane
bird+singer,hummingbird
bird+small,hummingbird
bird+snow,penguin
bird+sound,hummingbird
bird+statue,birdbath
bird+steam engine,plane
bird+steamboat,plane
bird+steel,birdcage
bird+stick,nest
bird+sundial,cuckoo
bird+swamp,hawk
bird+thunder,thunderbird
bird+thunderstorm,thunderbird
bird+time,cuckoo
bird+town,pigeon
bird+train,plane
bird+tree,nest
bird+truck,plane
bird+water,seagull
bird+wood,birdhouse
bird+worm,butterfly
black hole+color,black
black hole+opposite,white hole
black+berry,blackberry
black+bird,crow
black+opposite,white
black+water,ink
blackberry+blueberry,raspberry
blackberry+cranberry,raspberry
blackberry+hammer,purple
blackberry+plant,bush
blackberry+purple,raspberry
blackberry+red,raspberry
blackberry+stone,purple
blacklight+electricity,darkness
blacklight+energy,darkness
blade+air,shuriken
blade+ambulance,scalpel
blade+animal,blood
blade+blade,scissors
blade+bow,shuriken
blade+chicken,chicken nugget
blade+cookie dough,cookie cutter
blade+cookie,cookie cutter
blade+crossbow,shuriken
blade+doctor,scalpel
blade+fireplace,fire poker
blade+glass,blender
blade+grass,scythe
blade+gun,bayonet
blade+hair,scissors
blade+hospital,scalpel
blade+human,blood
blade+machine,blender
blade+potato,french fry
blade+shark,swordfish
blade+skeleton,bone
blade+small,needle
blade+spoon,knife
blade+star,shuriken
blade+tree,leaf
blade+weapon,sword
blade+wheat,scythe
blade+wire,pliers
blade+wood,axe
blanket+forest,picnic blanket
blanket+grass,picnic
blanket+insect,bedbug
blanket+pillow,bed
blanket+wool,pillow
blender+beef,ground beef
blender+fruit,juice
blender+meat,grease
blender+steak,grease
blender+vegetable,juice
blimp+fire,explosion
blimp+human,pilot
blizzard+dog,husky
blizzard+lawnmower,snowblower
blizzard+machine,snowblower
blood+bag,blood bag
blood+dna,vampire
blood+dog,wolf
blood+glue,bandage
blood+human,vampire
blood+leather,bandage
blood+thread,bandage
blood+wolf,werewolf
blood+wool,bandage
blood+worm,leech
blowdart+gun,blowgun
blue whale+small,orca
blue+berry,blueberry
blue+opposite,red
blue+yellow,green
blueberry+animal,bear
blueberry+hammer,blue
blueberry+plant,bush
blueberry+stone,blue
boar+evolution,pig
boar+nice,pig
boar+pink,pig
boar+small,warthog
boat+air,plane
boat+atmosphere,plane
boat+beach,yacht
boat+big,yacht
boat+boat,yacht
boat+evil,pirate ship
boat+hook,anchor
boat+house,boathouse
boat+human,sailor
boat+kraken,death
boat+metal,anchor
boat+money,yacht
boat+scythe,grim reaper
boat+snow,ski
boat+spoon,paddle
boat+steam,steamboat
boat+steel,anchor
boat+suitcase,yacht
boat+tower,lighthouse
boat+wind,sailboat
boat+wood,ship
boathouse+human,sailor
boiler+boat,steamboat
boiler+chain,wheel
boiler+tool,machine
boiler+wheel,train
bomb+air,missile
bomb+ball,grenade
bomb+big,nuke
bomb+brick,c4
bomb+concrete,c4
bomb+dust,gunpowder
bomb+electricity,explosion
bomb+energy,explosion
bomb+evil,terrorist
bomb+fire,explosion
bomb+fireball,explosion
bomb+metal,grenade
bomb+nitrogen,tnt
bomb+radiation,nuke
bomb+scientist,nuke
bomb+small,grenade
bomb+smoke,smoke grenade
bomb+steel,grenade
bomb+stick,tnt
bone+big,skeleton
bone+bird,vulture
bone+bone,skeleton
bone+corpse,skeleton
bone+fire,glue
bone+light,x-ray
bone+photon,x-ray
bone+pressure,bonemeal
bone+small,tooth
bone+time,fossil
bone+water,glue
bonfire+air,charcoal
bonfire+beef,steak
bonfire+meat,steak
bonfire+stick,charcoal
bonfire+water,charcoal
bonfire+wind,charcoal
bonfire+wood,charcoal
bonsai tree+fire,ash
book+big,dictionary
book+book,dictionary
book+house,library
book+laser,cd
book+machine,typewriter
book+magic,scroll
book+paper,bookmark
book+plastic,bookmark
book+television,computer
book+wood,bookshelf
bookshelf+house,library
boot+bicycle,roller skate
boot+blade,ice skate
boot+car,roller skate
boot+human,foot
boot+shoe,roller skate
boron+proton,carbon
bottle+glass,cup
bottle+pill,pill bottle
bottle+wine,cork
boulder+big,mountain
boulder+boulder,hill
boulder+glass,gem
boulder+immortality,philosopher's stone
boulder+miner,stone
boulder+money,gem
boulder+pickaxe,stone
boulder+small,stone
boulder+space,meteor
bouquet+flower,carnation
bouquet+wind,flower
bow+baby,cupid
bow+big,crossbow
bow+bird,meat
bow+bullet,gun
bow+chain,crossbow
bow+energy,crossbow
bow+fish,archerfish
bow+god,cupid
bow+gun,crossbow
bow+gunpowder,gun
bow+human,archer
bow+machine,crossbow
bow+metal,gun
bow+police,gun
bow+steel,gun
bow+wood,arrow
bowler+plastic,bowling pin
bowler+stick,bowling pin
bowling alley+human,bowler
bowling alley+plastic,bowling pin
bowling alley+stick,bowling pin
bowling ball+house,bowling alley
bowling ball+human,bowler
bowling ball+plastic,bowling pin
bowling ball+stick,bowling pin
bowling pin+human,bowler
box+car,truck
box+coin,chest
box+electricity,battery
box+energy,battery
box+evil,pandora's box
box+fire,ash
box+gold,chest
box+metal,safe
box+nice,pandora's box
box+toy,dice
boxing glove+human,boxer
bracelet+bracelet,necklace
bracelet+pearl,necklace
brain+book,knowledge
brain+dictionary,knowledge
brain+energy,idea
brain+flesh,head
brain+scientist,knowledge
bread+alcohol,beer
bread+bacon,sandwich
bread+banana,banana bread
bread+blade,bagel
bread+butter,croissant
bread+corn,cornbread
bread+egg,french toast
bread+electricity,toaster
bread+fire,toast
bread+frosting,cake
bread+grape,pie
bread+ham,sandwich
bread+heat,toast
bread+heater,toaster
bread+hole,bagel
bread+machine,toaster
bread+meat,sandwich
bread+metal,toaster
bread+pressure,waffle
bread+salad,crouton
bread+steel,toaster
bread+stick,baguette
bread+time,mold
bread+toaster,toast
bread+tomato,pizza
bread+vegetable,sandwich
breadstick+france,baguette
brick+baby,toy
brick+big,wall
brick+brick,wall
brick+child,toy
brick+clay,wall
brick+concrete,house
brick+fence,wall
brick+glue,wall
brick+human,house
brick+stone,wall
bridge+fire,charcoal
bridge+human,troll
broccoli+cloud,cauliflower
broccoli+cotton,cauliflower
broccoli+onion,garlic
broccoli+white,cauliflower
broccoli+wool,cauliflower
broomstick+bucket,mop
broomstick+human,maid
broomstick+machine,vacuum
broomstick+soap,mop
broomstick+sponge,mop
broomstick+water,mop
brown+light,orange
brown+opposite,pink
brown+white,orange
bucket+bucket,pipe
bucket+chain,well
bucket+house,well
bucket+rope,well
buffalo+evil,bull
buffalo+human,bull
bull+cold,buffalo
bull+ice,buffalo
bull+snow,buffalo
bulldog+cheetah,civet
bulldog+nose,pug
bullet+armor,bulletproof vest
bullet+bullet,ammunition clip
bullet+clothing,bulletproof vest
bullet+house,arsenal
bullet+metal,gun
bullet+shield,bulletproof vest
bullet+wood,arrow
bus+bus,train
bus+chair,bus stop
bus+house,bus station
bush+energy,mint
bush+time,berry
bush+tool,wood
butter+cream,buttermilk
butter+milk,buttermilk
butter+salt,peanut butter
butterfly+baby,caterpillar
butterfly+beetle,ladybug
butterfly+butterfly,caterpillar
butterfly+white,moth
c4+electricity,explosion
c4+energy,explosion
c4+time,explosion
cabbage+blade,lettuce
cabbage+knife,lettuce
cabbage+leaf,kale
cabbage+moss,kale
cabbage+pink,radish
cabbage+red,radish
cabbage+small,lettuce
cabbage+stick,celery
cabbage+turnip,radish
cabbage+water,lettuce
cactus+animal,sea urchin
cactus+beetle,cochineal
cactus+blade,needle
cactus+tool,needle
cake+blade,cupcake
cake+cup,cupcake
cake+heater,oven
cake+knife,cupcake
cake+small,cupcake
cake+sword,cupcake
calcium+calcium,bone
calcium+carbon,limestone
calcium+stick,bone
calcium+stone,limestone
calcium+sulfur,gypsum
calcium+time,tartar
calcium+water,gypsum
camel+farm,horse
camel+mountain,llama
camera+air,drone
camera+blade,drone
camera+electricity,picture
camera+energy,picture
camera+glass,lens
camera+human,selfie
camera+paper,film paper
camera+stick,selfie stick
camera+time,video
campfire+air,charcoal
campfire+beef,steak
campfire+big,bonfire
campfire+chimney,fireplace
campfire+coal,charcoal
campfire+fire,smoke
campfire+house,fireplace
campfire+meat,steak
campfire+metal,bbq
campfire+stick,charcoal
campfire+wall,fireplace
campfire+water,charcoal
campfire+wind,charcoal
campfire+wood,charcoal
candle+butterfly,moth
candle+candle,candelabra
candle+fire,light
candle+insect,moth
candy+animal,pinata
candy+christmas tree,candy cane
candy+donkey,pinata
candy+horse,pinata
candy+japan,dango
candy+mule,pinata
candy+plastic,wrapper
candy+stick,lollipop
candy+thread,pinata
cane+candy,candy cane
cane+sugar,candy cane
cannon+boat,pirate ship
cannon+ship,pirate ship
car+air,plane
car+animal,horse
car+armor,tank
car+atmosphere,plane
car+bus,taxi
car+car,bus
car+chair,car seat
car+dalmatian,firetruck
car+electricity,electric car
car+energy,electric car
car+farmer,tractor
car+field,tractor
car+gun,tank
car+hay,tractor
car+house,garage
car+ice,zamboni
car+internet,smart car
car+lightning,race car
car+magic,flying car
car+metal,tank
car+music,radio
car+ocean,submarine
car+plane,flying car
car+rubber,tire
car+scythe,tractor
car+smartphone,smart car
car+snow,zamboni
car+soap,car wash
car+sound,radio
car+steel,tank
car+time,time machine
car+water,oil
car+weapon,tank
car+wheat,tractor
car+wood,skateboard
car+yellow,taxi
carbon dioxide+cold,dry ice
carbon dioxide+ice,dry ice
carbon dioxide+metal,fire extinguisher
carbon dioxide+pressure,fire extinguisher
carbon monoxide+animal,corpse
carbon monoxide+human,corpse
carbon monoxide+oxygen,carbon dioxide
carbon+ammonia,carbon monoxide
carbon+carbon,bicarbonate
carbon+grass,coal
carbon+hydrogen,hydrocarbon
carbon+ink,graphite
carbon+oxygen,carbon monoxide
carbon+paper,graphite
carbon+plant,coal
carbon+poison,carbon monoxide
carbon+proton,nitrogen
carbon+sulfur,coal
carbon+water,carbonated water
carbonated water+black,soda
carbonated water+brown,soda
carbonated water+sugar,soda
cardboard+cardboard,box
cargo plane+house,airport
cargo plane+road,runway
carnation+rope,bouquet
carnation+string,bouquet
carnation+thread,bouquet
carnation+wire,bouquet
carnation+yarn,bouquet
carp+evolution,goldfish
carp+fishbowl,goldfish
carp+human,goldfish
carp+orange,goldfish
carp+yellow,goldfish
carpenter+ant,carpenter ant
carpet+carpet,floor
carpet+magic,flying carpet
carrot+cake,carrot cake
carrot+celery,parsley
carrot+snowball,snowman
cart+animal,horse
cart+bird,plane
cart+cold,sled
cart+energy,car
cart+fire,charcoal
cart+ice,sled
cart+metal,car
cart+snow,sled
cart+steam engine,car
cart+steel,car
cart+water,boat
castle wall+castle wall,castle
castle+castle,kingdom
castle+gun,cannon
castle+tank,cannon
castle+wall,castle wall
cat+africa,lion
cat+animal,lion
cat+bear,saber-toothed tiger
cat+bee,tiger
cat+big,lion
cat+blade,blood
cat+blood,lion
cat+box,litter box
cat+dinosaur,saber-toothed tiger
cat+dog,raccoon
cat+evil,lion
cat+fish,catfish
cat+flower,catnip
cat+fox,lynx
cat+grass,catnip
cat+immortality,immortality
cat+insect,flea
cat+kangaroo,opossum
cat+koala,opossum
